iter	Passed	Remaining
372	740322	1244456
373	741080	1240417
374	741836	1236394
375	742569	1232350
376	743306	1228329
377	744056	1224346
378	744796	1220365
379	745537	1216402
380	746267	1212440
381	747024	1208536
382	747796	1204674
383	748543	1200788
384	749299	1196933
385	750081	1193134
386	750817	1189279
387	751560	1185451
388	752289	1181616
389	753039	1177831
390	753789	1174060
391	754545	1170315
392	755319	1166612
393	756095	1162928
394	756884	1159278
395	757631	1155579
396	758346	1151845
397	759090	1148172
398	759821	1144492
399	760556	1140835
400	761268	1137156
401	762068	1133624
402	762811	1130021
403	763604	1126505
404	764362	1122952
405	765144	1119448
406	765902	1115921
407	766724	1112502
408	767463	1108976
409	768167	1105411
410	768990	1102032
411	769803	1098651
412	770567	1095212
413	771364	1091834
414	772126	1088418
415	772864	1084983
416	773618	1081581
417	774376	1078199
418	775183	1074896
419	776463	1072259
420	778240	1070311
421	779202	1067249
422	780082	1064083
423	781418	1061549
424	782363	1058492
425	783213	1055316
426	783968	1052023
427	784717	1048734
428	785472	1045466
429	786226	1042206
430	786952	1038923
431	787689	1035666
432	788417	1032407
433	789164	1029186
434	789889	1025948
435	790660	1022781
436	791436	1019631
437	792181	1016452
438	792952	1013317
439	793701	1010165
440	794603	1007218
441	795398	1004145
442	796184	1001071
443	797252	998361
444	798694	996124
445	799850	993536
446	800726	990608
447	801605	987692
448	802399	984681
449	803155	981634
450	804004	978710
451	804829	975766
452	805578	972740
453	806332	969729
454	807138	966792
455	807933	963850
456	808745	960937
457	809543	958018
458	810338	955104
459	811090	952149
460	811799	949153
461	812539	946204
462	813251	943231
463	813968	940274
464	814669	937308
465	815417	934405
466	816167	931514
467	816928	928645
468	817626	925714
469	818378	922852
470	819137	920007
471	819912	917190
472	820728	914427
473	821535	911662
474	822297	908854
475	823036	906032
476	823796	903239
477	824577	900480
478	825273	897635
479	826037	894874
480	826780	892098
481	827563	889373
482	828343	886653
483	829117	883935
484	830309	881668
485	831777	879698
486	832643	877097
487	833491	874482
488	834428	871969
489	835225	869316
490	835987	866634
491	836733	863944
492	837484	861267
493	838241	858603
494	838963	855912
495	839698	853242
496	840419	850565
497	841159	847916
498	841932	845306
499	842624	842624
500	843359	839992
501	844113	837387
502	844865	834787
503	845611	832189
504	846370	829610
505	847113	827024
506	847858	824445
507	848609	821881
508	849388	819351
509	850171	816831
510	850938	814302
511	851898	811965
512	853086	809850
513	854231	807697
514	855203	805386
515	856021	802934
516	856800	800453
517	857706	798097
518	858821	795940
519	859835	793693
520	860585	791210
521	861345	788742
522	862091	786266
523	862801	783766
524	863549	781306
525	864300	778856
526	865075	776434
527	865866	774032
528	866658	771637
529	867770	769532
530	869616	768079
531	872133	767215
532	873432	765277
533	874393	763047
534	875338	760808
535	876361	758641
536	877253	756365
537	878115	754069
538	879040	751832
539	879874	749522
540	880737	747242
541	881665	745023
542	882582	742799
543	883538	740613
544	884390	738344
545	885140	735996
546	885985	733732
547	886814	731460
548	887666	729212
549	888465	726926
550	889383	724742
551	890287	722552
552	891103	720294
553	891971	718085
554	892848	715887
555	893740	713706
556	894595	711500
557	895481	709323
558	896350	707138
559	897163	704914
560	898001	702714
561	898820	700504
562	899616	698281
563	900395	696050
564	901160	693813
565	901956	691606
566	902757	689407
567	903688	687312
568	904919	685448
569	905908	683404
570	906841	681321
571	907777	679245
572	908650	677127
573	909810	675225
574	910865	673248
575	912027	671353
576	913378	669600
577	914867	667948
578	916373	666309
579	917309	664258
580	918334	662275
581	919305	660256
582	920518	658415
583	921829	656645
584	922843	654666
585	923757	652620
586	925009	650815
587	926126	648918
588	928254	647729
589	929270	645764
590	930011	643611
591	930809	641503
592	931614	639404
593	932433	637319
594	933391	635333
595	934285	633307
596	935032	631186
597	935886	629140
598	936680	627059
599	937995	625330
600	939161	623503
601	940355	621696
602	942557	620555
603	943845	618812
604	945046	617014
605	946187	615178
606	947229	613280
607	948982	611844
608	950152	610032
609	951138	608105
610	952066	606144
611	953186	604307
612	954457	602569
613	955736	600837
614	956782	598961
615	957810	597076
616	958857	595206
617	959810	593280
618	960721	591332
619	961657	589402
620	962536	587441
621	963417	585485
622	964315	583542
623	965157	581569
624	966051	579630
625	967008	577733
626	967912	575807
627	968787	573867
628	969703	571955
629	970636	570056
630	971546	568146
631	972409	566212
632	973348	564326
633	974232	562411
634	975139	560513
635	976025	558605
636	976882	556684
637	977733	554764
638	978642	552879
639	979551	550997
640	980449	549112
641	981416	547269
642	982321	545394
643	983215	543516
644	984112	541643
645	984985	539759
646	985883	537893
647	986764	536020
648	987660	534158
649	988524	532282
650	989370	530399
651	990246	528536
652	991124	526677
653	991958	524797
654	992798	522924
655	993725	521099
656	994606	519253
657	995465	517400
658	996344	515559
659	997178	513697
660	998080	511874
661	998913	510019
662	999797	508192
663	1000641	506348
664	1001534	504532
665	1002509	502760
666	1003406	500951
667	1004329	499158
668	1005259	497370
669	1006168	495575
670	1007056	493772
671	1007996	491998
672	1008886	490201
673	1009779	488409
674	1010666	486617
675	1011559	484830
676	1012432	483036
677	1013316	481250
678	1014193	479464
679	1015022	477657
680	1015935	475893
681	1016988	474197
682	1017889	472431
683	1018756	470653
684	1019579	468857
685	1020461	467091
686	1021342	465327
687	1022237	463572
688	1023069	461791
689	1023996	460056
690	1024872	458300
691	1025769	456556
692	1026672	454817
693	1027615	453098
694	1028516	451363
695	1029407	449626
696	1030280	447883
697	1031217	446171
698	1032136	444453
699	1033022	442724
700	1033872	440981
701	1034751	439253
702	1035623	437524
703	1036509	435805
704	1037489	434126
705	1038879	432621
706	1040613	431258
707	1041468	429532
708	1042510	427885
709	1043353	426158
710	1044247	424454
711	1045165	422763
712	1046077	421071
713	1046986	419381
714	1047836	417669
715	1048671	415953
716	1049496	414236
717	1050400	412552
718	1051193	410828
719	1051996	409109
720	1052880	407425
721	1053751	405738
722	1054603	404045
723	1055554	402393
724	1056792	400852
725	1057664	399173
726	1058536	397497
727	1059945	396023
728	1061006	394420
729	1061942	392773
730	1062908	391138
731	1063814	389484
732	1064737	387837
733	1065688	386203
734	1066633	384568
735	1067590	382940
736	1068517	381302
737	1069426	379661
738	1070325	378017
739	1071275	376394
740	1072226	374772
741	1073180	373154
742	1074090	371522
743	1075052	369910
744	1076124	368337
745	1077229	366777
746	1078141	365153
747	1079064	363535
748	1079984	361917
749	1080866	360288
750	1081761	358666
751	1082647	357043
752	1083566	355432
753	1084437	353808
754	1085317	352188
755	1086175	350564
756	1087091	348960
757	1087994	347354
758	1088835	345730
759	1089727	344124
760	1090609	342517
761	1091489	340911
762	1092379	339310
763	1093255	337707
764	1094151	336112
765	1094969	334494
766	1095840	332895
767	1096719	331300
768	1097619	329713
769	1098465	328113
770	1099392	326538
771	1100269	324949
772	1101176	323372
773	1102067	321792
774	1102939	320208
775	1103827	318630
776	1104717	317055
777	1105600	315479
778	1106517	313915
779	1107394	312341
780	1108296	310777
781	1109175	309207
782	1110038	307635
783	1110906	306066
784	1111776	304499
785	1112615	302925
786	1113525	301373
787	1114447	299825
788	1115323	298267
789	1116228	296719
790	1117140	295173
791	1118009	293618
792	1118894	292069
793	1119763	290518
794	1120659	288975
795	1121609	287447
796	1122488	285903
797	1123330	284351
798	1124230	282816
799	1125093	281273
800	1126007	279744
801	1126888	278209
802	1127773	276676
803	1128660	275146
804	1129684	273650
805	1130538	272114
806	1131436	270591
807	1132320	269066
808	1133220	267546
809	1134134	266031
810	1134972	264500
811	1135862	262982
812	1136764	261469
813	1137633	259950
814	1138545	258442
815	1139433	256931
816	1140303	255416
817	1141178	253905
818	1142093	252404
819	1142970	250895
820	1143829	249385
821	1144735	247886
822	1145639	246388
823	1146544	244893
824	1147454	243399
825	1148356	241905
826	1149261	240413
827	1150176	238925
828	1151089	237438
829	1151964	235944
830	1152868	234458
831	1153721	232962
832	1154614	231477
833	1155491	229989
834	1156366	228503
835	1157258	227021
836	1158154	225542
837	1159106	224075
838	1159999	222598
839	1160882	221120
840	1161775	219646
841	1162612	218162
842	1163465	216683
843	1164377	215216
844	1165243	213742
845	1166129	212274
846	1167038	210810
847	1167891	209339
848	1168763	207871
849	1169664	206411
850	1170504	204941
851	1171331	203470
852	1172208	202010
853	1173106	200554
854	1174005	199100
855	1174868	197641
856	1175756	196188
857	1176608	194730
858	1177484	193277
859	1178453	191841
860	1179576	190431
861	1181873	189209
862	1182919	187786
863	1183781	186335
864	1184774	184907
865	1185804	183484
866	1186669	182038
867	1187560	180596
868	1188528	179168
869	1189387	177724
870	1190190	176273
871	1190978	174822
872	1191805	173378
873	1192604	171931
874	1193362	170480
875	1194308	169057
876	1195565	167679
877	1197034	166330
878	1198163	164934
879	1199060	163508
880	1200028	162092
881	1200961	160672
882	1201881	159252
883	1202795	157832
884	1203742	156418
885	1204588	154992
886	1205489	153574
887	1206368	152154
888	1207259	150737
889	1208138	149320
890	1208985	147900
891	1209884	146488
892	1210748	145072
893	1211640	143662
894	1212535	142252
895	1213416	140843
896	1214277	139432
897	1215141	138022
898	1216029	136617
899	1216910	135212
900	1217814	133810
901	1218729	132411
902	1219640	131013
903	1220498	129610
904	1221362	128209
905	1222255	126812
906	1223131	125414
907	1224027	124020
908	1224907	122625
909	1225757	121228
910	1226629	119835
911	1227518	118444
912	1228383	117052
913	1229246	115662
914	1230110	114272
915	1230990	112885
916	1231879	111500
917	1232782	110117
918	1233698	108737
919	1234577	107354
920	1235466	105973
921	1236353	104593
922	1237245	103215
923	1238161	101840
924	1239086	100466
925	1239933	99087
926	1240816	97712
927	1241715	96340
928	1242567	94964
929	1243479	93595
930	1244383	92226
931	1245264	90856
932	1246181	89489
933	1247047	88121
934	1247950	86755
935	1248839	85390
936	1249724	84026
937	1250596	82662
938	1251424	81295
939	1252297	79933
940	1253169	78572
941	1254079	77215
942	1254980	75857
943	1255877	74501
944	1256749	73144
945	1257654	71790
946	1258535	70435
947	1259425	69082
948	1260315	67730
949	1261214	66379
950	1262060	65027
951	1262932	63677
952	1263790	62327
953	1264665	60979
954	1265539	59632
955	1266386	58285
956	1267227	56939
957	1268149	55597
958	1269034	54254
959	1269911	52912
960	1270789	51572
961	1271652	50231
962	1272525	48892
963	1273390	47554
964	1274254	46216
965	1275150	44881
966	1276009	43545
967	1276889	42211
968	1277762	40877
969	1278678	39546
970	1279543	38214
971	1280400	36883
972	1281224	35552
973	1282129	34225
974	1282995	32897
975	1283898	31571
976	1284778	30245
977	1285619	28919
978	1286475	27595
979	1287377	26273
980	1288257	24950
981	1289118	23629
982	1290005	22309
983	1290891	20990
984	1291791	19671
985	1292647	18354
986	1293693	17039
987	1294558	15723
988	1295452	14408
989	1296327	13094
990	1297218	11780
991	1298134	10468
992	1299026	9157
993	1299849	7846
994	1300729	6536
995	1301627	5227
996	1302485	3919
997	1303364	2611
998	1304259	1305
999	1305164	0
